days_of_spread,number_of_cases,number_of_deaths
1,3,0
2,5,0
3,10,0
4,10,0
5,13,0
6,17,0
7,23,0
8,28,0
9,35,0
10,43,0
11,57,0
12,65,0
13,83,1
14,100,1
15,112,1
16,136,1
17,191,1
18,208,2
19,237,2
20,281,2
21,315,5
22,403,6
23,495,7
24,543,10
25,624,11
26,686,12
27,794,12
28,865,16
29,989,17
30,1091,19
31,1174,20
